Devoa,Девоа
"""I will guard the future of Veridia just as my ancestors did... whatever and whomever that may be.""",«Я продолжу дело предков и буду защищать будущее Веридии... от всех и вся».
Calvor the Tireless,Калвор Неутомимый
"""If we do this right, we wont even need cumbersome armor.""",«Хорошему бойцу броня только мешает».
Philbert,Филберт
Paul,Пауль
Terric,Террик
Hough,Хауг
Rainer,Райнер
Richard,Ричард
Peter,Питер
Gerald,Геральд
Rauf,Рауф
Norman,Норман
Elye,Эли
Hal,Хал
Amaury,Амаури
Humphrey,Хамфри
Milon,Милон
Bert,Берт
Christopher,Кристофер
Simon,Симон
Drewett,Древет
Wyat,Вайат
Armond,Армонд
Edmund,Эдмунд
Ludvig,Людвиг
Robert,Роберт
Thomas,Томас
Hadrian,Гадриан
Batholemew,Бартоломью
Emeric,Эмерик
Ingraham,Инграхам
Bernier,Бернир
Balan,Балан
Wiscar,Вискар
Isaac,Исаак
Powell,Павелл
Folc,Фолк
Manfred,Манфред
Uriel,Уриэль
Herman,Герман
Henry,Генри
Frederick,Фредерик
Tybost,Тибост
Percival,Персиваль
Owen,Оуэн
Wymond,Вимонд
Joffridus,Джофридус
Robertus,Робертус
Brom,Бром
Elliot,Эллиот
Atkin,Аткин
Digory,Дигори
Alfred,Альфред
Barrett,Баретт
Jasper,Джаспер
Gavin,Гэвин
Mercer,Мерсер
Beringer,Берингер
Gunther,Гюнтер
Tobias,Тобиас
Athel,Атэл
Dennis,Деннис
Mark,Марк
Shaner,Шанер
Jacobin,Якобин
Percy,Перси
Franklin,Франклин
Sham,Шам
Naser,Насир
Farzin,Фарзин
Sina,Сина
Kamram,Камрам
Sadeq,Садек
Bahrad,Бахрад
Reza,Реза
Nader,Надир
Arman,Арман
Karim,Карим
Abbas,Аббас
Milad,Милад
Darmok,Дармок
Parsa,Парса
Burkhart,Буркхарт
Otto,Отто
Walter,Уолтер
Manuel,Мануэль
Jorg,Йорг
Tilmann,Тильман
Tristan,Тристан
Markus,Маркус
Hugo,Хьюго
Antonin,Антонин
Nico,Нико
Andre,Андре
Ernst,Эрнст
Cristof,Кристоф
Andreas,Андреас
Ferdinand,Фердинанд
Julius,Джулиус
Reinhardt,Рэйнхардт
Jillad,Джиллад
Raphael,Рафаэль
Justin,Юстин
Jon,Джон
Matthew,Мэтью
Brent,Брент
Timothy,Тимоти
Ryan,Райан
Jacob,Джейкоб
Nicholas,Николас
Ethron,Этрон
William,Уильям
Antonio,Антонио
Gregory,Грегори
Joel,Джоэл
Noel,Ноэл
Anthony,Энтони
MacLaine,Маклейн
Chad,Чад
Brad,Брэд
Lambert,Ламберт
Andrew,Эндрю
Salem,Салем
Zephyr,Зефир
Ozmon,Озмон
Kushluk,Кушлук
Dylan,Дилан
Ephraim,Ифраим
Johannes,Йоханнес
Benny,Бенни
Hela,Хела
Evette,Ивет
Linvy,Линви
Ariana,Ариана
Sara,Сара
Kaylein,Кэйлин
Emma,Эмма
Magdalen,Магдалена
Bethany,Бетани
Sabine,Сабина
Victoria,Виктория
Jessimond,Жессимонд
Cristina,Кристина
Isolde,Изольда
Tilda,Тильда
Lina,Лина
Oriel,Ориэль
Ezabell,Изабель
Gabriela,Габриэла
Gwen,Гвен
Beatrice,Беатрис
Linette,Линет
Muriel,Муриэль
Nancy,Нэнси
Alison,Элисон
Godiva,Годива
Marione,Мариона
Adelena,Аделина
Jacqueline,Жаклин
Sarra,Сарра
Tabitha,Табита
Freya,Фрейя
Natalie,Натали
Anna,Анна
Stefanie,Стефани
Rita,Рита
Teresa,Тереза
Janina,Янина
Marion,Марион
Cornelia,Корнелия
Anke,Анке
Rikke,Рикки
Caroline,Каролина
Yasmin,Ясмин
Dorothea,Дороти
Madleen,Мадлен
Helena,Елена
Wilhelmina,Вильгельмина
Millie,Милли
Karin,Карин
Lisette,Лизетта
Vera,Вера
Miriam,Мириам
Katrine,Катрина
Sigrid,Зигрид
Oriana,Ориана
Linnea,Линнея
Heidi,Хайди
Signy,Зигни
Sofia,София
Vedia,Ведия
Theodora,Теодора
Sima,Сима
Ozra,Озра
Mahya,Махия
Dorsa,Дорса
Leylani,Лейлани
Pardis,Пардис
Sofala,Софала
Nassim,Нассим
Fakhri,Фахри
Marzieh,Марзих
Roya,Ройя
Halimeh,Халиме
Khatoun,Хатун
Erika,Эрика
Katherine,Катерина
Crystal,Кристал
Somayeh,Сомайе
Amelia,Амелия
Ekkon,Эккон
Kuthex,Кутекс
Izeth,Изет
Thozilg,Тозилг
Olkoz,Олкоз
Chuzzax,Чуззакс
Tesath,Тесат
Druzgix,Друзгикс
Gurgogg,Гургог
Ushtoz,Уштоз
Orzi,Орзи
Nelkai,Нелкай
Oskaz,Оскаж
Algozu,Алгозу
Strigoz,Стригож
Moda,Мода
Gedrir,Гедрир
Naddrus,Наддрус
Qezud,Квезуд
Kirgonath,Киргонат
Qathog,Кватог
Gorvu,Горву
Torrax,Торакс
Burith,Бурит
Narlox,Нарлокс
Durgath,Дургат
Myrga,Мирга
Gothai,Готай
Ruzog,Рузог
Aldroc,Алдрок
Irdiru,Ирдиру
Xyzzyx,Ксузукс
Vogniax,Вогнякс
Sinagg,Зинаг
Katko,Катко
Kristax,Кристакс
Etrae,Итрай
Kheshnax,Кишнакс
Ilkuta,Илкута
Trollian,Троллиан
Clyde,Клайд
Oten,Отен
Kabura,Кабура
Dmitry,Дмитрий
Manilyn,Мэнилин
Nossfe,Носсфе
Ashim,Ашим
Guy Verre Kanon,Ги Вер Канон
"Granis, The Lightbringer",Гранис Светоносец
"""Donar, send me your greatest foes.""","«Донар, направь меня против своих величайших врагов!»"
"""From destitution findeth restitution.""","«Кто терпит лишения, тому да воздастся»."
Sato the Cautious,Сато Бдительный
"""One must save themselves before they can save others.""","«Если хочешь помочь другим, сначала позаботься о себе»."
Calden Blackwall,Калден Чёрная Стена
"""History is written by the army with the best artillery.""","«Историю пишет та сторона, у кого лучше артиллерия»."
Aggarak the Returned,Аггарак Вернувшийся
"""Break their will to live.""",«Врагов надо лишить воли к жизни».
Volkan the Grave,Волкан Суровый
"""The things you've tried to bury won't remain that way!""",«Всё тайное станет явным!»
Bulwark Bartolo,Бартоло Бастион
"""The people of the Midlands have suffered too much.""",«Народ среднеземья настрадался сверх меры».
Volkan the Grave,Волкан Суровый
"""What you have tried to bury will not stay buried!""",«Все тайны рано или поздно всплывут!»
