ENGLISH,KOREAN
A steel full-plate battle armor adorned with the armored scales of a defeated dragon. ,전투에서 패배한 용의 비늘로 장식된 강철 판금 갑옷. 
Imperial Battle Armor,제국군 전투 갑옷
Modern design of steel heavy armor worn by elite Veridian warriors. ,베리디아 정예 전사들이 착용하던 강철 중갑옷의 현대적 해석. 
Obsidian Plate Armor,흑요석 판금 갑옷
"Full plate armor made from obsidian. Cumbersome, but offers incredible protection.",흑요석으로 만든 완전 판금 갑옷. 번거롭지만 보호력만은 놀랍습니다.
St. Teresa's Tiara,성 테레사의 티아라
"Tiara of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.",크라우저 황조의 마지막 베리디아 황제 계승 위기를 둘러싼 사건의 위대한 영웅 중 한 명인 성 테레사의 티아라.
Hulking Pavise ,거대한 파비스 
"A recently-created, large wall of steel designed to attempt to deflect the bullets from Firearms.","최근 만들어진, 화기에서 발사된 총알을 튕겨내고자 설계된 거대한 강철 벽."
Aldor's Tower Shield,알도르의 타워 실드
Massive shield made from obsidian. Was gifted to the Duke of Rimorgue before the times of the Aetherium Crisis.,"흑요석으로 만든 거대한 방패. 아테리움 사태 이전, 리모르그 공작에게 선물로 보내졌습니다."
St. Teresa's Bulwark,성 테레사의 방어벽
"Shield of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.",크라우저 황조의 마지막 베리디아 황제 계승 위기를 둘러싼 사건의 위대한 영웅 중 한 명인 성 테레사의 방패.
Skull of Rowdain,로우데인의 두개골
"Long thought forgotten, this millennia-old artifact bears the latent energy of a powerful necromancer who once terrorized Tahnra.","오랫동안 잊힌 줄로만 알았던 이 천년 된 유물은, 한 때 탄라를 공포에 떨게 했던 강력한 사령술사가 가지고 있던 잠재된 에너지를 지니고 있습니다."
Puffin Feather Amulet,퍼핀 깃털 부적
"Amulet made from the venerated Puffin, a mainstay of Tahnra's fauna.",탄라 동물계의 기둥으로 숭배 받는 퍼핀으로 만든 부적.
Ruby Ring,루비 반지
Ring with a simple strength enchantment.,단순한 힘 강화 마법이 담긴 반지.
Emerald Ring,에메랄드 반지
Ring with a simple skill enchantment.,단순한 재주 강화 마법이 담긴 반지.
Sapphire Ring,사파이어 반지
Ring with a simple magic enchantment.,단순한 마력 강화 마법이 담긴 반지.
Ribbon,리본
Several of these were created by an eccentric wizard. They protect the wearer from the binding effects of the Siren and the Sorceress's magic.,괴짜 마법사가 여러 개를 만들었습니다. 사이렌과 여마법사의 마법적 상태이상 효과로부터 착용자를 보호합니다.
Kesh's Toolkit,케시의 도구 키트
The Barek Tor War Chieftain Eskandar's special grappling hook crafted for him personally by Grandmaster Kesh.,바렉 토르 전쟁 추장 에스칸다르를 위해 대사제 케시가 직접 제작한 갈고리.
Noisy Cricket,시끄러운 귀뚜라미
The sound given off by these extraordinary creatures is indescribably irritating...,이 특별한 생물이 내는 소리는 이루 말할 수 없이 짜증납니다...
Boots of Tyranny,폭군의 부츠
"Enchanted boots that drains the spirit of the user, while granting them incredible stamina.",사용자의 정신을 고갈시키는 동시에 놀라운 지구력을 부여하는 마법의 부츠.
Imperial War Banner,제국군 전쟁 깃발
"The Imperial blue flag adorned with the likeness of Adorimetra, Queen of the Golden Dragon Brood, is known the world over.","금빛 용족의 여왕 아도리메트라를 닮게 장식된 제국의 푸른 깃발로, 전 세계에 알려져 있습니다."
Everlasting Potion,마르지 않는 물약
A treasure of unknown origin. Highly sought after for its incredible ability to replenish itself over some time.,근원을 알 수 없는 보물. 시간이 흐르면 다시 채워지는 놀라운 능력 때문에 모두가 찾습니다.
Jade Figurine,옥 조각상
"Find one of these, and the fortunes of war will turn to your favor.",하나를 찾으면 전쟁의 운이 당신에게 유리해집니다.
Iblis Family Signet,이블리스 가문 인장
"The Iblis family has a legendary history and a far-reaching impact on Tahnra, having offered the world many great warriors of days past.","이블리스 가문은 전설적인 역사를 가지고 탄라에 큰 영향을 끼쳤으며, 과거 많은 위대한 전사들을 세계로 배출했습니다."
Donar's Treatise of War,도나르의 전쟁 조약문
One of the few ancient divine documents written in Common Veridian that all may understand its secrets.,"모두가 그 비밀을 이해할 수 있도록 베리디아 공용어로 쓰여진, 몇 안되는 고대의 신성한 문서 중 하나입니다."
Soha's Blood Shard,소하의 피조각
Fragment of a mysterious crystal shard of unfathomable power. No one has possessed it and lived.,깊이를 가늠할 수 없는 위력을 지닌 신비한 수정의 파편. 이것을 지니고 목숨을 부지한 이는 없습니다.
Landis's Fixed Dice,란디스의 조작된 주사위
"The Divine Avatar of Justice created his own luck at every turn, though it earned him a suspicious reputation.","신성한 정의의 화신은 매 순간 직접 행운을 만들어냈지만, 그 덕분에 평판이 의심스러워졌습니다."
Genbu Shell Fragment,겐부 껍질 조각
"A lone turtle, who inadvertedly consumed a piece of an Aetherium Shard, was transformed into a massive and powerful beast known today as Genbu. The pieces of his shell are priceless.",아테리움 조각의 파편 하나를 실수로 먹은 외톨이 거북은 오늘날 겐부라고 불리는 거대하고 강력한 짐승으로 변했습니다. 겐부의 껍질 조각은 값을 매길 수 없습니다.
Temporal Modulator,시간 변조기
A legendary treasure that has remained a mainstay of adventurer's desires for millenia. Has unique control over the flow of time.,수천 년 동안 모험가들이 찾기를 욕망하는 전설의 보물. 시간의 흐름을 독특하게 조종합니다.
Black Belt,검은 띠
Adorned with faded engraving about an ancient Arena Champion.,고대 투기장 우승자에 관한 장식이 흐릿하게 새겨져 있는 띠.
Cloak of Cunning,교활함의 망토
Equal the playing field against speedy foes with this masterfully-woven cloak.,놀라운 솜씨로 짠 이 망토를 입으면 빠른 적과 동등하게 싸울 수 있습니다.
Essence of Embor,엠보어의 정수
Magical charm that captures the bitter cold of the Emborian Tundra.,엠보어 툰드라의 매서운 추위를 담은 마법의 부적.
Belinda's Field Kit,벨린다의 야전 응급 키트
The well-organized medical supply kit originally curated by a legendary Priestess of times past.,과거 전설적인 여사제가 만들었던 잘 정리된 의료품 키트.
Signet of Wrath,레이스의 인장
"The encapsulated power of the ancient demon of sin, Wrath.",죄악의 고대 악마 레이스의 힘을 담고 있습니다.
Firewalker Boots,파이어워커 부츠
Boots specifically designed for Obsidian miners braving the lava tubes of Mt. Karnac.,카르낙 산의 용암을 뚫고 들어갈 정도로 용감한 흑요석 채굴자들을 위해 특별히 디자인된 부츠.
Shadowchaser Boots,그림자추적자 부츠
"Enchanted Boots worn by the notorious assassin, Kuroda.",악명 높은 암살자 쿠로다가 신었던 마법의 부츠.
Gilded Clover,도금된 클로버
What DOES Lucky do?!,행운이 대체 어디에 쓰는 거지?!
Mercurial Shoes,변덕스러운 신발
It's like walking on a cloud.,구름 위를 걷는 것 같습니다.
Caladori Charm,칼라도리 부적
The Grandmaster always had a delightful sense of humor!,대사제는 언제나 즐거운 유머 감각을 보였었죠!
Fitch Farm Rancher Hat,피치 팜 농장주인의 모자
Ain't no one who can handle 'em like old Barnabas!,누구도 바나바스처럼 다룰 수 없습니다!
Grothnor Lich's Skull,그로트너 리치의 해골
Decent people shouldn't think about how one gets one of these things.,품위 있는 사람이라면 이런 걸 어떻게 손에 넣는지 생각해선 안됩니다.
Spencer's Spectacles,스펜서의 안경
Technologically-advanced relic of a bygone era with unknown mechanical properties.,알 수 없는 재질로 만들어진 잊혀진 시대의 발전한 기술의 유물.
Aetherium Gemstone,아테리움 젬스톤
"A piece of the Arc Donarium's inner core, salvaged recently and nearly priceless.","대 도나리움의 내부 핵심 조각으로, 최근에 발굴되었으며 가치는 이루 말 할 수 없습니다."
Sunset Bay Theatre Mask,썬셋 베이 극장 가면
Ceremonial mask worn by the elusive Tidereaver sect in a remote pirate colony known as Sunset Bay.,선셋 베이라고 알려진 먼 해적 식민지의 교묘한 타이드리버 분파가 착용했던 의식용 가면.
Unequip,장착 해제
Unequip the current artifact.,현재 유물을 장착 해제합니다.
Empty,비어 있음
Select to equip an item.,아이템을 장착하려면 선택하세요.
Locked,잠김
Locked.  Unlock Adept Artificer tech to unlock.,잠김.  잠금 해제하려면 능숙한 제작자 기술을 잠금 해제하세요.
Locked.  Unlock Journeyman Artificer tech to unlock.,잠김.  잠금 해제하려면 장인 제작자 기술을 잠금 해제하세요.
Ace of Spaces,스페이드 에이스
An indestructible card that defies age and time.,나이와 시간을 거스르는 파괴할 수 없는 카드.
Warfarer's Boots,전쟁낭인의 부츠
Shuffle becomes a free action,위치 변경이 턴을 소모하지 않음
Duelist's Contract,결투사의 계약서
All units on both teams get +1 attack at 1 range,"양측 모든 유닛에게 1타일 거리에서 공격시, +1 공격 부여"
Do-It-Yourself Bandage,자가조치 붕대
Map heals are a free action,지도 회복이 턴을 소모하지 않음
Emperor's Missive,황제의 칙서
Tier 1 Units take 50% damage,티어 1 유닛들이 받는 피해 50% 감소
Donari Charm,도나리교 부적
2 additional Map Heal charges,지도 회복 충전 횟수 2회 추가
Commoner's Goblet,서민의 술잔
Non-story squad leaders only,"주,조연 등장인물이 아닌 분대장만 사용 가능"
Can only be equipped on Squads not lead by story characters,"주,조연 등장인물이 분대장이 아닌 분대에만 착용 가능합니다."
Tailored Great Helm,수제 맞춤형 그레이트 헬름
2 additional Armor per unit archetype in Squad,분대에 있는 각 유닛 원형마다 +2 방어구 추가
Thorny Charm,가시투성이 부적
Every Unit in Squad will resist 1 status effect per combat,분대의 모든 유닛은 전투당 1회 상태이상 저항을 하게 됨
