Devoa,德沃亚
Nancy,南希
Alison,艾莉森
Godiva,伽迪瓦
Marione,马利奥尼
Adelena,阿德雷纳
Jacqueline,杰奎琳
Sarra,萨拉
Tabitha,塔比莎
Freya,芙蕾雅
Natalie,娜塔莉
Anna,安娜
Stefanie,斯蒂芬妮
Rita,丽塔
Teresa,泰瑞莎
Janina,賈妮娜
Marion,玛莉安
Cornelia,科妮莉亚
Anke,安科
Rikke,芮克
Caroline,卡罗琳
Yasmin,雅思敏
Dorothea,多萝西娅
Madleen,马德琳
Helena,海伦娜
Wilhelmina,威廉敏娜
Millie,米莉
Karin,卡琳
Lisette,丽莎特
Vera,维拉
Miriam,米莉亚
Katrine,卡特琳
Sigrid,茜格丽德
Oriana,奥莉安娜
Linnea,林内亚
Heidi,海蒂
Signy,西格尼
Sofia,索菲亚
Vedia,维迪亚
Theodora,西奥多拉
Sima,西玛
Ozra,奥兹拉
Mahya,马海亚
Dorsa,多尔萨
Leylani,莱拉尼
Pardis,帕迪斯
Sofala,索法拉
Nassim,纳西姆
Fakhri,法赫里
Marzieh,马尔济耶
Roya,罗亚
Halimeh,哈利玛
Khatoun,哈通
Erika,埃里卡
Katherine,凯瑟琳
Crystal,克里斯托
Somayeh,索马耶赫
Amelia,阿米莉娅
Ekkon,爱康
Kuthex,库蒂克斯
Izeth,埃吉特
Thozilg,通吉洛
Olkoz,阿尔卡兹
Chuzzax,楚扎克斯
Tesath,苔丝
Druzgix,德鲁吉克斯
Gurgogg,古尔冈
Ushtoz,乌什托兹
Orzi,奥兹
Nelkai,内尔卡伊
Oskaz,奥斯卡兹
Algozu,阿尔戈祖
Strigoz,斯特里戈
Moda,莫达
Gedrir,盖德里尔
Naddrus,纳德鲁斯
Qezud,凯祖德
Kirgonath,基尔戈纳特
Qathog,卡托格
Gorvu,戈武
Torrax,托拉克斯
Burith,布里斯
Narlox,纳洛克斯
Durgath,杜加斯
Myrga,米尔加
Gothai,哥泰
Ruzog,鲁佐格
Aldroc,阿尔德罗克
Irdiru,伊迪鲁
Xyzzyx,西兹克斯
Vogniax,伏尼亚克斯
Sinagg,西纳格
Katko,卡特科
Kristax,克里斯塔克斯
Etrae,埃特雷
Kheshnax,克什纳克斯
Ilkuta,伊尔库塔
Trollian,特罗里亚
Clyde,克莱德
Oten,奥腾
Kabura,卡布拉
Dmitry,德米西
Manilyn,马尼林
Nossfe,诺斯菲
Ashim,阿西姆
Guy Verre Kanon,盖伊·维尔·卡农
"Granis, The Lightbringer",光之使者格拉尼斯
"""Donar, send me your greatest foes.""",“多纳尔，请将你最强大的敌人交给我。”
"""From destitution findeth restitution.""",“从贫困中解困。”
Sato the Cautious,谨慎者佐藤
"""One must save themselves before they can save others.""",“能自保的人才能拯救他人。”
Calden Blackwall,卡尔登·黑墙
"""History is written by the army with the best artillery.""",“历史是由炮兵最出色的军队所书写的。”
Aggarak the Returned,回归者阿加拉克
"""Break their will to live.""",“摧毁他们求生的意志。”
Volkan the Grave,肃穆的沃尔坎
"""The things you've tried to bury won't remain that way!""",“你尝试埋葬的事物不会永远沉眠！”
Bulwark Bartolo,保卫者巴托洛
"""The people of the Midlands have suffered too much.""",“中土人民已经经受了太多的苦难”
Volkan the Grave,肃穆的沃尔坎
"""What you have tried to bury will not stay buried!""",“你尝试埋葬的不会永远深埋！”
