ENGLISH,ZH-cn
"Enchanted boots that drains the spirit of the user, while granting them incredible stamina.",汲取使用者精神力来赋予他们强大耐力的附魔靴子。
Imperial War Banner,帝国战旗
"The Imperial blue flag adorned with the likeness of Adorimetra, Queen of the Golden Dragon Brood, is known the world over.",饰有金龙之母珥多魅拉徽记的帝国蓝旗遍布世间。
Everlasting Potion,永存药水
A treasure of unknown origin. Highly sought after for its incredible ability to replenish itself over some time.,来历不明的宝物，因其随时间自我充能的惊人能力备受追捧。
Jade Figurine,翠玉神像
"Find one of these, and the fortunes of war will turn to your favor.",手握其一，战场披靡。
Iblis Family Signet,艾比斯家族印戒
"The Iblis family has a legendary history and a far-reaching impact on Tahnra, having offered the world many great warriors of days past.",有着传奇的历史的艾比斯家族对整个塔恩拉世界影响深远。历史上许多伟大的战士都是从这里走出来的。
Donar's Treatise of War,多纳尔的战争宝典
One of the few ancient divine documents written in Common Veridian that all may understand its secrets.,为数不多用通用维尔迪亚语书写的古代神圣档案，所有人都可以理解其中记载的秘密。
Soha's Blood Shard,索哈的血之碎片
Fragment of a mysterious crystal shard of unfathomable power. No one has possessed it and lived.,某个神秘水晶碎片的一部分，蕴含着深不可测的力量，没有人能在占有它之后活下来。
Landis's Fixed Dice,兰迪斯的必胜骰子
"The Divine Avatar of Justice created his own luck at every turn, though it earned him a suspicious reputation.",正义灵使每回合都在给自己创造好运，哪怕名声扫地也依然故我。
Genbu Shell Fragment,玄武甲片
"A lone turtle, who inadvertedly consumed a piece of an Aetherium Shard, was transformed into a massive and powerful beast known today as Genbu. The pieces of his shell are priceless.",一只孤独的乌龟无意中吞下了一枚以太碎片，由此进化成了如今名为玄武的巍峨猛兽。其甲片可谓无价之宝。
Temporal Modulator,时间制御器
A legendary treasure that has remained a mainstay of adventurer's desires for millenia. Has unique control over the flow of time.,千年来一直备受冒险者追捧的传奇宝物，对时间流动具有独特的控制能力。
Black Belt,黑带
Adorned with faded engraving about an ancient Arena Champion.,饰有关于古竞技场角斗士的褪色雕文。
Cloak of Cunning,灵诡披风
Equal the playing field against speedy foes with this masterfully-woven cloak.,这件大师织作能让你和滑不溜手的敌人站们在同一起跑线上。
Essence of Embor,恩博尔的精粹
Magical charm that captures the bitter cold of the Emborian Tundra.,封存了恩博尔苔原苦寒气息的魔法饰品。
Belinda's Field Kit,贝琳达的战地医疗包
The well-organized medical supply kit originally curated by a legendary Priestess of times past.,收纳整齐有序的医疗补给包，由一位旧日的传奇女祭司首创。
Signet of Wrath,狂怒戒印
"The encapsulated power of the ancient demon of sin, Wrath.",封存着古代罪魔“狂怒”的力量。
Firewalker Boots,踏火者之靴
Boots specifically designed for Obsidian miners braving the lava tubes of Mt. Karnac.,"为黑曜石矿工特制的鞋子,无惧卡纳克山中岩浆喷涌的考验。"
Shadowchaser Boots,追影者之靴
"Enchanted Boots worn by the notorious assassin, Kuroda.",恶名昭著的刺客黑田所穿的附魔靴子。
Gilded Clover,鎏金三叶草
What DOES Lucky do?!,我要这运气有何用？！
Mercurial Shoes,水银之鞋
It's like walking on a cloud.,宛若云端漫步。
Caladori Charm,空鸟饰物
The Grandmaster always had a delightful sense of humor!,圣宗大人总是有种令人愉悦的幽默感！
Fitch Farm Rancher Hat,费奇牧者帽
Ain't no one who can handle 'em like old Barnabas!,这帮小崽子也就数我老巴纳巴斯能给拿捏住了！
Grothnor Lich's Skull,葛索诺巫妖之颅
Decent people shouldn't think about how one gets one of these things.,体面人不该去想怎么才能搞一个这玩意儿回来。
Spencer's Spectacles,斯宾塞的眼镜
Technologically-advanced relic of a bygone era with unknown mechanical properties.,来自旧日纪元的高科技遗物，具有未知的机械特性。
Aetherium Gemstone,以太宝石
"A piece of the Arc Donarium's inner core, salvaged recently and nearly priceless.",至高神多纳尔的一块内核碎片，是在最近才重现天日的无价之宝。
Sunset Bay Theatre Mask,日落湾剧场面具
Ceremonial mask worn by the elusive Tidereaver sect in a remote pirate colony known as Sunset Bay.,隐秘的噬浪者教团成员在偏远的海盗殖民地日落湾所佩戴的仪式面具。
Unequip,卸下
Unequip the current artifact.,卸下当前神器。
Empty,空
Select to equip an item.,选择装备物品。
Locked,未解锁
Locked.  Unlock Adept Artificer tech to unlock.,未解锁。研发“熟练工匠”科技以解锁
Locked.  Unlock Journeyman Artificer tech to unlock.,未解锁。研发“职业工匠”科技以解锁
Ace of Spaces,方块A
An indestructible card that defies age and time.,久经考验的无敌卡牌。
Warfarer's Boots,战士之靴
Shuffle becomes a free action,换位变为免费行动
Duelist's Contract,决斗者的契约
All units on both teams get +1 attack at 1 range,敌我双方所有单位在距离为1时攻击+1
Do-It-Yourself Bandage,自助绷带
Map heals are a free action,地图治疗变为免费行动
Emperor's Missive,帝王敕令
Tier 1 Units take 50% damage,一阶单位承伤降为50%
Donari Charm,多纳尔教护符
2 additional Map Heal charges,地图治疗次数+2
Commoner's Goblet,平民的高脚杯
Non-story squad leaders only,只能由非故事角色小队领袖使用
Can only be equipped on Squads not lead by story characters,只能由非故事角色小队领袖所率领的小队装备
Tailored Great Helm,定制巨盔
2 additional Armor per unit archetype in Squad,小队中每多一类单位原型，护甲+2
Thorny Charm,荆棘护符
Every Unit in Squad will resist 1 status effect per combat,小队中每个单位每场战斗都能抵抗一种状态效果
