Devoa,デボア
Manfred,マンフレッド
Uriel,ウリエル
Herman,ヘルマン
Henry,ヘンリー
Frederick,フレデリック
Tybost,タイボスト
Percival,パーシバル
Owen,オーウェン
Wymond,ワイモンド
Joffridus,ジョフリダス
Robertus,ロバートゥス
Brom,ブロム
Elliot,エリオット
Atkin,アトキン
Digory,ディゴリー
Alfred,アルフレッド
Barrett,バレット
Jasper,ジャスパー
Gavin,ギャビン
Mercer,マーサー
Beringer,ベリンジャー
Gunther,ガンサー
Tobias,トビアス
Athel,アーセル
Dennis,デニス
Mark,マーク
Shaner,シャナー
Jacobin,ジャコビン
Percy,パーシー
Franklin,フランクリン
Sham,シャム
Naser,ナセル
Farzin,ファージン
Sina,シナ
Kamram,カンラム
Sadeq,シャデック
Bahrad,バーラッド
Reza,レザ
Nader,ナデル
Arman,アルマン
Karim,カリーム
Abbas,アバース
Milad,ミラッド
Darmok,ダーモック
Parsa,パーサ
Burkhart,バークハート
Otto,オットー
Walter,ウォルター
Manuel,マヌエル
Jorg,ジョーグ
Tilmann,ティルマン
Tristan,トリスタン
Markus,マーカス
Hugo,ヒューゴ
Antonin,アントニン
Nico,ニコ
Andre,アンドレ
Ernst,アーネスト
Cristof,クリストフ
Andreas,アンドレアス
Ferdinand,ファーディナンド
Julius,ジュリアス
Reinhardt,ラインハルト
Jillad,ジラード
Raphael,ラファエル
Justin,ジャスティン
Jon,ジョン
Matthew,マシュー
Brent,ブレント
Timothy,ティモシー
Ryan,ライアン
Jacob,ジェイコブ
Nicholas,ニコラス
Ethron,エスロン
William,ウィリアム
Antonio,アントニオ
Gregory,グレゴリー
Joel,ジョエル
Noel,ノエル
Anthony,アンソニー
MacLaine,マクレイン
Chad,チャド
Brad,ブラッド
Lambert,ランバート
Andrew,アンドリュー
Salem,セーラム
Zephyr,ザイファー
Ozmon,オズモン
Kushluk,クシュルク
Dylan,ダイラン
Ephraim,エフライム
Johannes,ヨハネス
Benny,ベニー
Hela,ヘラ
Evette,エベット
Linvy,リンヴィー
Ariana,アリアナ
Sara,サラ
Kaylein,カイレイン
Emma,エマ
Magdalen,マグダレン
Bethany,ベサニー
Sabine,サビーヌ
Victoria,ビクトリア
Jessimond,ジェスモンド
Cristina,クリスティーナ
Isolde,イソルド
Tilda,ティルダ
Lina,リナ
Oriel,オリエル
Ezabell,イザベル
Gabriela,ガブリエラ
Gwen,グエン
Beatrice,ベアトライス
Linette,リネット
Muriel,ムリエル
Nancy,ナンシー
Alison,アリソン
Godiva,ゴヴィダ
Marione,マリオーネ
Adelena,アデレーナ
Jacqueline,ジャクリーン
Sarra,サーラ
Tabitha,タビサ
Freya,フレイヤ
Natalie,ナタリー
Anna,アンナ
Stefanie,ステファニー
Rita,リタ
Teresa,テレサ
Janina,ジャニナ
Marion,マリオン
Cornelia,コーネリア
Anke,アンク
Rikke,リッケ
Caroline,キャロライン
Yasmin,ヤスミン
Dorothea,ドロシー
Madleen,マドレーン
Helena,ヘレナ
Wilhelmina,ウィルヘルミナ
Millie,ミリー
Karin,カリン
Lisette,リゼッテ
Vera,ヴェラ
Miriam,ミリアム
Katrine,ケイトリン
Sigrid,シグリッド
Oriana,オリアナ
Linnea,リネア
Heidi,ヘイディ
Signy,シグニー
Sofia,ソフィア
Vedia,ヴェディア
Theodora,テオドラ
Sima,シーマ
Ozra,オズラ
Mahya,マーヒャ
Dorsa,ドーサ
Leylani,レーラニ
Pardis,パルディス
Sofala,ソファラ
Nassim,ナシム
Fakhri,ファカーリ
Marzieh,マージー
Roya,ローヤ
Halimeh,ハリマー
Khatoun,カートン
Erika,エリカ
Katherine,キャサリン
Crystal,クリスタル
Somayeh,ソマヤー
Amelia,アメリア
Ekkon,エッコン
Kuthex,クセックス
Izeth,アイゼス
Thozilg,ソジルグ
Olkoz,オルコス
Chuzzax,チュゼックス
Tesath,テサス
Druzgix,ドルジックス
Gurgogg,ガーゴック
Ushtoz,ウシュトス
Orzi,オルジ
Nelkai,ネルカイ
Oskaz,オスカス
Algozu,アルゴス
Strigoz,ストリゴス
Moda,モダ
Gedrir,ジェドリール
Naddrus,ナドラス
Qezud,ケジド
Kirgonath,カーゴナス
Qathog,ケソッグ
Gorvu,ゴーヴ
Torrax,トラックス
Burith,ブリス
Narlox,ナーロックス
Durgath,ドゥーガス
Myrga,マイルガ
Gothai,ゴサイ
Ruzog,ルゾグ
Aldroc,アルドロック
Irdiru,イルディル
Xyzzyx,エグジーグス
Vogniax,ボグニアクス
Sinagg,シナーグ
Katko,カトコ
Kristax,クリスタクス
Etrae,エトリー
Kheshnax,ケシャナクス
Ilkuta,イルクタ
Trollian,トロリアン
Clyde,クライド
Oten,オテン
Kabura,カブラ
Dmitry,ドミトリー
Manilyn,マニリン
Nossfe,ノスフェ
Ashim,アシム
Guy Verre Kanon,ガイ・ヴェレ・カノン
"Granis, The Lightbringer",光の使者グラニス
"""Donar, send me your greatest foes.""",「ドナーよ、あなたに仇なす者を倒します」
"""From destitution findeth restitution.""",「貧しき世界を豊かにしよう」
