ENGLISH,JAPANESE
Blood Staff,血の杖
A weapon that draws upon the wielder's own life force to grant them incredible magic power.,使用者自身の生命力を利用することで、とてつもない量の魔力を奮う武器。
Apprentice Spellbook,見習いの魔法書
Standard issue magical guidebook wielded by Imperial Academy war mages.,帝国士官学校のウォーメイジが使用する普通の魔法の書。
Grandmaster Spellbook,大魔導士の魔法書
Decades of study allows a war mage to understand the powerful techniques within this book.,数十年にわたる厳しい修行に耐えたウォーメイジは、この本に書かれた強力な魔術を使えるようになるという。
Auraweave Cloak,オーラのマント
"An exsquisite cloak made from Auraweave, silk imbued with magic.",魔力を宿したシルク、オーラの繊維で織られた極上のマントだ。
Cyrene's Regalia,サイレインの衣
The divinely-enchanted uniform of the Avatar of Compassion.,慈悲の化身を表象する神聖な魔法の服。
Sergeant's Uniform,兵士の制服
Imperial Academy officer's uniform.,帝国士官学校の兵士の制服だ。
Officer's Regalia,将校の制服
Higher echelons of Imperial military officers are granted this familiar uniform.,帝国軍の上級将校には、この制服が与えられる。
Scout's Gear,偵察兵の服
Standard issue Imperial Light Infantry battle gear.,帝国軍の標準的な軽装装備だ。
Guerilla Armor,野戦の鎧
"Rugged leather armor of an ancient Barek Tor design, optimal for jungle combat.",ジャングルでの戦闘に最適な、古代バレク トールの頑丈な革の鎧。
Shinobi Gi,忍の衣
The garb of a master of the Caladori Arts allowing the wielder to dodge many incoming attacks.,カラドリの達人が身に着ける衣。着用者は攻撃を躱しやすくなるという。
Blademaster's Armor,剣豪の鎧
Mastercraft lamellar-plated armor from the new extinct Caladori civilization that occupied what is now known as Western Sayunaa.,かつて西サユナー地方に存在したとされる、カラドリ文明で作られた見事なプレートアーマーだ。
Landis's Mirage,ランディスの蜃気楼
"Divine cloak of the master of Guile, Saint Landis.",ガイルの主、聖ランディスの衣。
Steel Plate Armor,鋼の鎧
Standard issue Imperial Heavy Infantry battle gear.,帝国軍歩兵の標準的な重装備だ。
Donari Armor,ドナーの鎧
Battle armor worn by the order of Donari Paladins for centuries.,ドナー騎士団が何世紀にもわたって使用していた鎧。
Dragonscale Armor,ドラゴンアーマー
A steel full-plate battle armor adorned with the armored scales of a defeated dragon. ,倒した竜の鱗で表面を装飾した、鋼鉄製のプレートアーマー。
Imperial Battle Armor,帝国の鎧
Modern design of steel heavy armor worn by elite Veridian warriors. ,ベリディアの精鋭兵が着用する洗練されたデザインの鋼鉄のヘビーアーマー。
Obsidian Plate Armor,黒曜石の鎧
"Full plate armor made from obsidian. Cumbersome, but offers incredible protection.",黒曜石で作られたプレートアーマー。動きにくいが、信じられないほどの防御力を誇る。
St. Teresa's Tiara,聖テレサのティアラ
"Tiara of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.",クラウザー家最後の皇帝の継承問題を解決した偉大な人物、聖テレサのティアラ。
Hulking Pavise ,巨大パヴィス 
"A recently-created, large wall of steel designed to attempt to deflect the bullets from Firearms.",銃の弾丸をそらすように設計された、現代的な鋼の壁。
Aldor's Tower Shield,アルドーの盾
Massive shield made from obsidian. Was gifted to the Duke of Rimorgue before the times of the Aetherium Crisis.,黒曜石で作られた巨大な盾。エセリウム危機以前に、リモーグの公爵によって贈られた。
St. Teresa's Bulwark,聖テレサの壁
"Shield of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.",クラウザー家最後の皇帝の継承問題を解決した偉大な人物、聖テレサの盾。
Skull of Rowdain,ローデインのしゃれこうべ
"Long thought forgotten, this millennia-old artifact bears the latent energy of a powerful necromancer who once terrorized Tahnra.",数千年もの間忘れられていたこの宝物は、かつてターンラ中を恐怖に陥れた強大なネクロマンサーの力を宿している。
Puffin Feather Amulet,ツノメドリのアミュレット
"Amulet made from the venerated Puffin, a mainstay of Tahnra's fauna.",ターンラによく見られる鳥で、現地で崇拝されているツノメドリの羽毛から作られたアミュレット。
Ruby Ring,ルビーの指輪
Ring with a simple strength enchantment.,腕力に働きかける魔法が込められた指輪。
Emerald Ring,エメラルドの指輪
Ring with a simple skill enchantment.,技量に働きかける魔法が込められた指輪。
Sapphire Ring,サファイアの指輪
Ring with a simple magic enchantment.,魔力に働きかける魔法が込められた指輪。
Ribbon,リボン
Several of these were created by an eccentric wizard. They protect the wearer from the binding effects of the Siren and the Sorceress's magic.,変わり者の魔法使いによって作られたもの。着用者をセイレーンとソーサレスの魔法の束縛効果から守る。
Kesh's Toolkit,ケシュのフック
The Barek Tor War Chieftain Eskandar's special grappling hook crafted for him personally by Grandmaster Kesh.,名匠ケシュが制作した、バレクトールの大酋長イスカンダル専用の引っかけフック。
Noisy Cricket,うるさいコオロギ
The sound given off by these extraordinary creatures is indescribably irritating...,コオロギの群れが発する爆音は、非常に煩わしいものだ。
Boots of Tyranny,暴君のブーツ
"Enchanted boots that drains the spirit of the user, while granting them incredible stamina.",着用者の精神力を吸収し、代わりに大量のスタミナを与える魔法のブーツ。
Imperial War Banner,帝国の戦旗
"The Imperial blue flag adorned with the likeness of Adorimetra, Queen of the Golden Dragon Brood, is known the world over.",ゴールドドラゴンの女王であるアドリメトラの肖像で飾られた帝国の青い旗は、全世界の民に知られている。
Everlasting Potion,永遠のポーション
A treasure of unknown origin. Highly sought after for its incredible ability to replenish itself over some time.,出所不明の宝物。しばらく経つと、自動的に補充されるため、とても需要の高いアイテムだ。
Jade Figurine,翡翠の置物
"Find one of these, and the fortunes of war will turn to your favor.",これを見つけたら、戦は自軍に有利に働くだろう。
Iblis Family Signet,イブリス家の印章
"The Iblis family has a legendary history and a far-reaching impact on Tahnra, having offered the world many great warriors of days past.",イブリス家には伝説的な歴史があり、ターンラに多大な影響力を持ち、多くの偉大な戦士を輩出してきた。
Donar's Treatise of War,ドナーの戦争論
One of the few ancient divine documents written in Common Veridian that all may understand its secrets.,共通ベリディア語で書かれた数少ない古代の神聖な書物の1つ。あらゆる人がその秘密を読む事ができる。
Soha's Blood Shard,ソハの血のかけら
Fragment of a mysterious crystal shard of unfathomable power. No one has possessed it and lived.,計り知れない力を持つ神秘的なクリスタルのかけら。それを手にした者で、長く生き永らえた者はいない。
Landis's Fixed Dice,ランディスのさいころ
"The Divine Avatar of Justice created his own luck at every turn, though it earned him a suspicious reputation.",正義の神の化身は、毎回自身に幸運をもたらしたが、そのことにより彼は疑いをかけられることとなった。
Genbu Shell Fragment,玄武の甲羅のかけら
"A lone turtle, who inadvertedly consumed a piece of an Aetherium Shard, was transformed into a massive and powerful beast known today as Genbu. The pieces of his shell are priceless.",ある時エセリウムのかけらを食べてしまったそのカメは、玄武の名で知られる強大な獣に変異した。その甲羅の破片は、とても貴重なものだ。
Temporal Modulator,タイムモジュレーター
A legendary treasure that has remained a mainstay of adventurer's desires for millenia. Has unique control over the flow of time.,何千年もの間、冒険者たちの垂涎の的だった伝説の宝物。時の流れを操るという。
Black Belt,黒帯
Adorned with faded engraving about an ancient Arena Champion.,古代の闘技場チャンピオンの色あせた彫刻に装着されていたもの。
Cloak of Cunning,身かわしのマント
Equal the playing field against speedy foes with this masterfully-woven cloak.,この見事に織られたマントで、素早い敵に対抗しよう。
Essence of Embor,エンボーの結晶
Magical charm that captures the bitter cold of the Emborian Tundra.,エンボーのツンドラの厳しい寒さを封印したお守り。
Belinda's Field Kit,ベリンダの救急箱
The well-organized medical supply kit originally curated by a legendary Priestess of times past.,その昔、伝説の尼僧が作成した救急箱。
Signet of Wrath,ラースの印
"The encapsulated power of the ancient demon of sin, Wrath.",古代の罪の悪魔、ラースの力が封印された印。
Firewalker Boots,火渡りのブーツ
Boots specifically designed for Obsidian miners braving the lava tubes of Mt. Karnac.,過酷なカルナック山の溶岩洞窟で作業する、黒曜石鉱夫のために設計された特殊なブーツ。
Shadowchaser Boots,影追う者の具足
"Enchanted Boots worn by the notorious assassin, Kuroda.",悪名高きアサシン、クロダの魔法のブーツ
Gilded Clover,金のクローバー
What DOES Lucky do?!,幸運がもたらされるかも！？
Mercurial Shoes,水銀の靴
It's like walking on a cloud.,まるで雲の上を歩いているような感触。
Caladori Charm,カラドリのお守り
The Grandmaster always had a delightful sense of humor!,道を極めし者は、爽やかなユーモアのセンスを兼ね備えていた！
Fitch Farm Rancher Hat,フィッチ家の麦わら帽子
Ain't no one who can handle 'em like old Barnabas!,老バルナバスよりこれが似合う者はいない！
Grothnor Lich's Skull,黒魔導士のしゃれこうべ
Decent people shouldn't think about how one gets one of these things.,まともな人間は、これを手に入れようなどと考えるべきではない。
Spencer's Spectacles,スペンサーの眼鏡
Technologically-advanced relic of a bygone era with unknown mechanical properties.,未知の先進テクノロジーを有していた古代の遺物。
Aetherium Gemstone,エセリウムの石
"A piece of the Arc Donarium's inner core, salvaged recently and nearly priceless.",アークドナリウムの内部コアの一部。最近回収された物であり、非常に貴重な品だ。
Sunset Bay Theatre Mask,サンセットベイの仮面
Ceremonial mask worn by the elusive Tidereaver sect in a remote pirate colony known as Sunset Bay.,サンセットベイの名として知られる人里離れた海賊のアジトで、タイドリーバーの一派が使う儀式用の仮面。
Unequip,装備解除
Unequip the current artifact.,現在の装備を外します。
Empty,装備なし
Select to equip an item.,装備するアイテムを選択してください。
Locked,ロック状態
Locked.  Unlock Adept Artificer tech to unlock.,ロック状態です。 熟練の工匠の技術をアンロックすると、アンロックされます。
Locked.  Unlock Journeyman Artificer tech to unlock.,ロック状態です。 国宝級の名工の技術をアンロックすると、アンロックされます。
Ace of Spaces,スペースのエース
An indestructible card that defies age and time.,時に逆らう不滅のカード。
Warfarer's Boots,旅人のブーツ
Shuffle becomes a free action,位置交換がフリーアクションになる
Duelist's Contract,決闘者の契約
All units on both teams get +1 attack at 1 range,両軍の全ユニットの攻撃+1、射程+1
Do-It-Yourself Bandage,自力応急処置
Map heals are a free action,マップ回復がフリーアクションになる
Emperor's Missive,皇帝の書状
Tier 1 Units take 50% damage,ティア1ユニットは50％のダメージを受ける
Donari Charm,ドナーのお守り
2 additional Map Heal charges,マップ回復が2回分追加される
Commoner's Goblet,平民のゴブレット
Non-story squad leaders only,非重要人物のリーダーのみ装備可
Can only be equipped on Squads not lead by story characters,ストーリー上の重要キャラが率いていない部隊のみ装備できる
Tailored Great Helm,特注の大兜
2 additional Armor per unit archetype in Squad,部隊のユニットタイプ1つごとに装甲+2
Thorny Charm,トゲトゲのお守り
Every Unit in Squad will resist 1 status effect per combat,部隊内の全ユニットは、戦闘ごとに1つのステータス効果から守られる
